alpha;x*;y*;f_calls;min(local/global)
2,5;62,7482;-0,921148;62;globalne
2,5;-1,68309e-06;4,94987e-17;70;lokalne
2,5;-3,00173e-06;1,73051e-16;58;lokalne
2,5;-2,09598e-06;8,07058e-17;62;lokalne
2,5;2,56329e-06;1,24252e-16;70;lokalne
2,5;1,19975e-06;2,16309e-17;66;lokalne
2,5;-3,9848e-07;-3,98143e-18;62;lokalne
2,5;-2,47859e-06;1,15711e-16;66;lokalne
2,5;62,7482;-0,921148;58;globalne
2,5;-1,98339e-06;7,15198e-17;66;lokalne
2,5;1,95296e-06;6,91239e-17;58;lokalne
2,5;62,7482;-0,921148;58;globalne
2,5;-9,79127e-07;1,20166e-17;66;lokalne
2,5;62,7482;-0,921148;58;globalne
2,5;8,40051e-07;6,95656e-18;66;lokalne
2,5;1,36747e-06;3,02423e-17;66;lokalne
2,5;62,7482;-0,921148;58;globalne
2,5;-1,69489e-06;5,0296e-17;56;lokalne
2,5;1,31549e-06;2,74532e-17;62;lokalne
2,5;9,08607e-07;9,35416e-18;70;lokalne
2,5;-1,16237e-06;1,98649e-17;70;lokalne
2,5;-1,58278e-06;4,2947e-17;66;lokalne
2,5;-2,03745e-06;7,58668e-17;66;lokalne
2,5;4,61259e-07;-2,90197e-18;70;lokalne
2,5;1,55676e-06;4,13131e-17;70;lokalne
2,5;2,4544e-06;1,13324e-16;66;lokalne
2,5;2,19337e-06;8,90606e-17;62;lokalne
2,5;62,7482;-0,921148;62;globalne
2,5;-5,45199e-07;-1,21231e-18;70;lokalne
2,5;62,7482;-0,921148;58;globalne
2,5;2,06611e-06;7,82188e-17;70;lokalne
2,5;-2,19096e-06;8,88494e-17;70;lokalne
2,5;62,7482;-0,921148;62;globalne
2,5;-2,28595e-06;9,73546e-17;66;lokalne
2,5;3,10064e-07;-5,23438e-18;70;lokalne
2,5;62,7482;-0,921148;62;globalne
2,5;2,94724e-06;1,66567e-16;58;lokalne
2,5;2,96155e-07;-5,40301e-18;62;lokalne
2,5;-2,10609e-06;8,1555e-17;62;lokalne
2,5;-1,75516e-06;5,44545e-17;56;lokalne
2,5;8,61575e-08;-7,0087e-18;62;lokalne
2,5;62,7482;-0,921148;70;globalne
2,5;62,7482;-0,921148;62;globalne
2,5;2,01289e-07;-6,34683e-18;66;lokalne
2,5;62,7482;-0,921148;66;globalne
2,5;2,11724e-06;8,24968e-17;62;lokalne
2,5;-1,99998e-06;7,28413e-17;62;lokalne
2,5;-2,06631e-06;7,82353e-17;58;lokalne
2,5;1,53098e-06;3,9721e-17;70;lokalne
2,5;-2,05803e-06;7,75525e-17;62;lokalne
2,5;62,7482;-0,921148;70;globalne
2,5;62,7482;-0,921148;70;globalne
2,5;62,7482;-0,921148;66;globalne
2,5;-2,5478e-06;1,22669e-16;66;lokalne
2,5;-2,83209e-06;1,53258e-16;62;lokalne
2,5;62,7482;-0,921148;70;globalne
2,5;-2,25915e-06;9,49176e-17;66;lokalne
2,5;-1,16914e-06;2,01806e-17;66;lokalne
2,5;-6,02671e-07;1,07081e-19;66;lokalne
2,5;1,43257e-06;3,3888e-17;58;lokalne
2,5;-2,07785e-06;7,91923e-17;66;lokalne
2,5;-7,4336e-07;3,89453e-18;66;lokalne
2,5;6,25014e-07;6,55683e-19;70;lokalne
2,5;4,94257e-07;-2,27137e-18;70;lokalne
2,5;62,7482;-0,921148;62;globalne
2,5;-1,34503e-06;2,90248e-17;70;lokalne
2,5;-2,55799e-06;1,23709e-16;70;lokalne
2,5;62,7482;-0,921148;56;globalne
2,5;1,29611e-06;2,64406e-17;66;lokalne
2,5;2,35241e-07;-6,0504e-18;52;lokalne
2,5;-2,87073e-06;1,57665e-16;62;lokalne
2,5;2,51468e-06;1,19315e-16;66;lokalne
2,5;-1,07603e-07;-6,92559e-18;70;lokalne
2,5;-1,69715e-06;5,04489e-17;66;lokalne
2,5;-1,5361e-06;4,0035e-17;62;lokalne
2,5;2,60149e-07;-5,80362e-18;62;lokalne
2,5;2,28882e-06;9,76171e-17;66;lokalne
2,5;1,15896e-06;1,97066e-17;66;lokalne
2,5;2,00334e-06;7,31104e-17;70;lokalne
2,5;-1,05491e-06;1,50994e-17;58;lokalne
2,5;-1,96208e-06;6,98378e-17;66;lokalne
2,5;8,49077e-08;-7,01298e-18;62;lokalne
2,5;-9,8854e-07;1,23871e-17;58;lokalne
2,5;-6,75457e-07;1,96769e-18;70;lokalne
2,5;62,7482;-0,921148;58;globalne
2,5;62,7482;-0,921148;62;globalne
2,5;1,9964e-06;7,2555e-17;70;lokalne
2,5;2,14469e-06;8,48368e-17;70;lokalne
2,5;-2,77377e-07;-5,6184e-18;70;lokalne
2,5;62,7482;-0,921148;66;globalne
2,5;62,7482;-0,921148;56;globalne
2,5;62,7482;-0,921148;62;globalne
2,5;62,7482;-0,921148;70;globalne
2,5;1,58585e-06;4,31412e-17;48;lokalne
2,5;62,7482;-0,921148;70;globalne
2,5;62,7482;-0,921148;58;globalne
2,5;62,7482;-0,921148;70;globalne
2,5;-2,24899e-07;-6,14558e-18;66;lokalne
2,5;62,7482;-0,921148;62;globalne
2,5;62,7482;-0,921148;58;globalne
