x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls
7,553;6,12989;1,00061;2,99946;6,88985e-07;1;27
5,00038;6,13723;nan;nan;nan;1;10001
-3,74092;2,64962;0,999434;3,00061;6,95893e-07;1;25
3,08051;-1,35835;nan;nan;nan;1;10001
-6,03928;-1,98843;0,999637;3,00039;2,87204e-07;1;24
2,06458;0,366011;1,00061;2,99934;8,14644e-07;1;27
6,31733;9,47278;1,00041;2,99956;3,61657e-07;1;33
9,9013;6,43586;1,00054;2,99946;5,83184e-07;1;49
5,69358;-2,17281;1,00056;2,99937;7,2088e-07;1;14
-4,28084;5,26804;0,999329;3,00071;9,61368e-07;1;52
-6,47255;3,74106;0,999591;3,00044;3,62936e-07;1;27
-3,06488;-2,29595;0,999599;3,00045;3,71877e-07;1;34
-4,82325;-3,41278;0,999215;3,00077;1,20425e-06;1;36
9,15012;9,51043;0,999553;3,00048;4,30361e-07;1;48
-3,22835;-6,15262;1,00047;2,99954;4,36061e-07;1;28
-9,94996;-2,29895;0,999555;3,00049;4,50168e-07;1;28
-2,94143;0,368391;0,999501;3,00047;4,69828e-07;1;23
-1,4244;6,67373;1,00045;2,99952;4,36169e-07;1;32
1,52611;9,41123;0,999633;3,0004;3,0088e-07;1;26
-8,95797;-0,728802;0,999547;3,00048;4,40785e-07;1;28
9,99254;-0,978294;0,999545;3,00048;4,37398e-07;1;35
-0,877566;2,13295;0,999301;3,00062;8,99041e-07;1;25
0,435052;2,22659;1,00056;2,99949;5,93655e-07;1;20
1,0309;-8,52203;1,00052;2,99953;4,96511e-07;1;55
-2,71076;0,372493;0,999598;3,00036;2,99666e-07;1;23
-9,07552;8,75419;nan;nan;nan;1;10001
6,94391;8,13081;1,00049;2,99954;4,55123e-07;1;45
-9,1756;-8,67529;0,999354;3,0006;7,87031e-07;1;32
-0,369691;-8,07842;1,00063;2,99934;8,27025e-07;1;26
4,83467;-3,53544;0,999491;3,00057;6,01669e-07;1;22
8,52212;-1,90629;1,00064;2,9994;7,71739e-07;1;48
-5,21321;8,57218;0,999272;3,00069;1,00831e-06;1;14
-9,64985;3,26868;1,00048;2,99957;4,27171e-07;1;32
7,08769;5,42567;1,00062;2,99935;8,07805e-07;1;53
-6,65042;0,932977;0,999302;3,00067;9,4516e-07;1;27
-1,57736;0,516297;1,0004;2,99963;3,01888e-07;1;26
4,18604;7,90426;0,999391;3,00063;7,71624e-07;1;23
6,64594;3,12496;1,00065;2,99933;8,73243e-07;1;25
2,51315;7,18241;0,999542;3,00044;4,0487e-07;1;27
0,346953;2,83505;0,999433;3,00064;7,49019e-07;1;23
-0,982304;7,80986;nan;nan;nan;1;10001
8,16431;2,03673;0,999637;3,00039;2,83627e-07;1;30
1,29608;-3,40088;0,999548;3,00051;4,85217e-07;1;32
-0,943797;-9,34847;1,00041;2,99958;3,43537e-07;1;27
7,98836;5,37687;1,00041;2,99956;3,63562e-07;1;28
9,36548;7,66649;1,0005;2,99951;4,84909e-07;1;26
-0,722091;-8,3123;1,00072;2,99928;1,02686e-06;1;26
4,81214;1,97939;1,0006;2,9994;7,24677e-07;1;21
0,276759;-9,57129;1,0004;2,99963;2,99502e-07;1;27
8,77376;-3,96727;1,00047;2,99952;4,4847e-07;1;15
-6,40316;5,78295;0,999312;3,00063;8,8238e-07;1;43
-6,59149;-3,35489;0,999335;3,00059;8,14418e-07;1;23
-8,3539;3,30548;1,00052;2,99954;4,89023e-07;1;32
4,16056;-4,84919;1,00041;2,99956;3,6838e-07;1;29
-1,91675;8,65892;0,999503;3,0005;5,01247e-07;1;44
4,02718;-7,75093;1,00075;2,99922;1,17857e-06;1;22
-1,0944;8,4579;1,00046;2,99957;4,03335e-07;1;57
3,35155;7,36181;0,999286;3,00067;9,67323e-07;1;25
-0,856864;2,68322;0,999524;3,00044;4,2758e-07;1;24
3,87993;-6,54661;1,00064;2,9994;7,67192e-07;1;22
-3,06986;-4,08371;1,00064;2,9994;7,78497e-07;1;25
-7,1146;3,21407;1,00038;2,99966;2,63283e-07;1;32
6,18959;-2,13682;1,00071;2,9993;1,00162e-06;1;14
0,998594;-2,94142;nan;nan;nan;1;10001
4,1235;9,94961;0,999341;3,00065;8,52248e-07;1;27
-2,2951;-2,28437;1,00073;2,99931;1,01278e-06;1;23
-5,17598;-0,515146;0,999438;3,0006;6,8465e-07;1;25
-1,34485;-0,166483;1,00046;2,99959;3,94123e-07;1;22
-6,81147;-6,38666;1,0005;2,99955;4,6788e-07;1;24
-3,09219;0,857273;0,999512;3,00049;4,80514e-07;1;26
-2,25961;4,67449;1,00042;2,99955;3,80531e-07;1;34
7,73203;8,65575;1,00051;2,99954;4,86933e-07;1;23
-6,26422;-5,78192;nan;nan;nan;1;10001
-0,131296;5,31974;nan;nan;nan;1;10001
7,47864;3,56953;1,0004;2,99963;3,00162e-07;1;26
1,24577;5,03167;0,999562;3,00047;4,19031e-07;1;24
-3,6033;0,196318;0,999379;3,00058;7,32443e-07;1;23
3,81939;-9,50901;1,00063;2,99942;7,51499e-07;1;23
-0,445135;8,64633;0,999497;3,00053;5,31824e-07;1;22
1,84221;6,10749;0,999462;3,00054;5,8294e-07;1;26
-1,01219;1,71149;0,999493;3,00052;5,23546e-07;1;22
-4,14198;6,76827;1,0006;2,99936;7,73888e-07;1;21
-0,117178;6,67365;0,999553;3,00048;4,37342e-07;1;21
3,47408;0,0261764;0,999547;3,00042;3,88119e-07;1;24
-6,27283;-9,89967;1,00069;2,9993;9,70355e-07;1;26
-3,12403;6,379;1,00049;2,9995;4,97338e-07;1;23
1,38877;-9,25761;0,999418;3,00066;7,96122e-07;1;32
1,63373;-7,69595;1,00073;2,99929;1,02776e-06;1;37
7,25445;-6,98104;nan;nan;nan;1;10001
-6,64717;-0,134449;1,00039;2,99957;3,45263e-07;1;38
0,37834;4,92076;0,999524;3,00053;5,20941e-07;1;20
9,9798;4,45828;1,00059;2,9994;7,07321e-07;1;26
3,77317;-5,28298;0,999472;3,00056;5,97962e-07;1;33
-4,31136;-7,56975;1,00042;2,99962;3,29141e-07;1;28
8,27945;0,129509;1,00064;2,99939;7,91226e-07;1;27
8,28788;-1,80477;0,999529;3,00049;4,66368e-07;1;33
3,00194;-9,85163;1,00072;2,9993;1,01006e-06;1;42
-8,46034;9,44256;0,999573;3,00046;3,9589e-07;1;34
-4,07248;5,06131;0,999344;3,00071;9,37099e-07;1;28
7,85261;6,75599;1,00048;2,99953;4,57097e-07;1;26
