x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls
-6,3398;-0,121063;0,994223;3,00578;6,67569e-05;1;56
-3,14357;-9,49611;1,00608;2,99392;7,39058e-05;1;62
1,12321;-9,8452;1,00619;2,99381;7,66928e-05;1;66
-7,90053;-3,24101;0,993832;3,00617;7,60875e-05;1;51
-3,76758;-9,32413;1,00611;2,99389;7,46799e-05;1;61
8,07215;8,84726;1,00594;2,99406;7,05505e-05;1;44
-4,18972;9,33038;0,993888;3,00611;7,47152e-05;1;65
-1,82231;8,28144;0,994102;3,0059;6,95687e-05;1;62
5,29778;0,667774;1,00596;2,99404;7,0974e-05;1;60
8,72347;2,6237;1,00589;2,99411;6,95003e-05;1;62
4,82916;2,282;1,00623;2,99377;7,75555e-05;1;56
9,36281;5,11154;1,00624;2,99376;7,78973e-05;1;59
-3,77727;0,411872;0,993732;3,00627;7,85746e-05;1;49
-7,03417;-7,59391;1,00594;2,99406;7,04855e-05;1;51
4,52681;-4,76761;1,00599;2,99401;7,18164e-05;1;65
-4,14749;-9,0838;1,00623;2,99377;7,76834e-05;1;60
4,54587;-6,74859;1,00635;2,99365;8,05977e-05;1;66
-4,6576;-3,65464;1,00597;2,99403;7,12471e-05;1;42
-3,80826;-8,09395;1,00628;2,99372;7,87575e-05;1;59
4,90582;-4,50192;1,00605;2,99395;7,32648e-05;1;65
7,60398;-9,43481;1,00596;2,99404;7,11541e-05;1;70
9,37939;5,96733;1,006;2,994;7,20819e-05;1;58
7,53304;-2,55876;1,00577;2,99423;6,6675e-05;1;66
9,25963;-0,361962;1,00617;2,99383;7,60375e-05;1;65
0,502525;-5,91809;1,00613;2,99387;7,51154e-05;1;62
5,08818;-9,07497;1,00625;2,99375;7,81633e-05;1;68
-6,62852;-3,16795;0,994263;3,00574;6,58152e-05;1;46
1,44089;-7,55773;1,00584;2,99416;6,81041e-05;1;65
5,59345;0,280097;1,00591;2,99409;6,99503e-05;1;61
-3,16711;-0,67143;0,993796;3,0062;7,69748e-05;1;35
7,09855;-7,21632;1,00631;2,99369;7,96377e-05;1;68
0,700821;5,75035;0,994271;3,00573;6,5636e-05;1;53
8,7539;-9,18882;1,00625;2,99375;7,80711e-05;1;70
-6,26817;7,98085;0,994151;3,00585;6,84202e-05;1;66
-2,9203;9,53593;0,993836;3,00616;7,5991e-05;1;64
5,32512;-4,79576;1,00579;2,99421;6,69962e-05;1;66
2,99089;2,52762;1,00635;2,99365;8,05833e-05;1;50
2,50364;-7,38292;1,00631;2,99369;7,95442e-05;1;65
8,69338;-1,59475;1,00587;2,99413;6,88578e-05;1;66
1,2905;0,106885;1,00598;2,99402;7,15347e-05;1;53
-1,53765;-1,67988;1,00613;2,99387;7,52434e-05;1;49
-6,23525;3,83956;0,994123;3,00588;6,90727e-05;1;62
-9,98792;1,44167;0,993824;3,00618;7,62978e-05;1;63
-0,0423365;2,8549;0,994032;3,00597;7,12313e-05;1;41
0,996078;-8,67696;1,00619;2,99381;7,67122e-05;1;65
4,72258;-6,64558;1,00574;2,99426;6,601e-05;1;67
-1,795;5,37448;0,994266;3,00573;6,5765e-05;1;58
7,00471;2,53224;1,00582;2,99418;6,76411e-05;1;60
0,712658;-0,467281;1,00597;2,99403;7,13697e-05;1;53
-6,39716;-2,81368;0,993781;3,00622;7,73586e-05;1;46
1,44613;2,63765;1,00598;2,99402;7,14024e-05;1;40
1,49118;-9,23101;1,00607;2,99393;7,38082e-05;1;66
-9,3;5,93031;0,993682;3,00632;7,98218e-05;1;66
-9,03157;7,03306;0,993956;3,00604;7,30674e-05;1;67
3,61737;-2,4267;1,00585;2,99415;6,85478e-05;1;62
6,20837;-9,30754;1,0061;2,9939;7,43536e-05;1;69
8,67507;7,7867;1,00603;2,99397;7,26936e-05;1;52
2,58366;-4,54764;1,00598;2,99402;7,1547e-05;1;63
-3,19791;-6,23745;1,00621;2,99379;7,71611e-05;1;57
2,52548;-3,76131;1,00603;2,99397;7,27469e-05;1;62
7,24731;6,40221;1,00594;2,99406;7,0532e-05;1;52
3,95577;9,22303;0,993862;3,00614;7,5343e-05;1;53
9,35258;3,17451;1,00595;2,99405;7,08504e-05;1;62
6,56014;-0,254924;1,00577;2,99423;6,66771e-05;1;63
