x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls;h_calls
-6,3398;-0,121063;0,982739;2,99266;0,00277266;1;118;118
-3,14357;-9,49611;0,994166;2,9824;0,00253943;1;128;128
1,12321;-9,8452;1,00017;2,98191;0,00161071;1;128;128
-7,90053;-3,24101;0,984613;2,98921;0,0030938;1;124;124
-3,76758;-9,32413;0,993287;2,98265;0,00266292;1;128;128
8,07215;8,84726;1,01426;3,01179;0,00305664;1;121;121
-4,18972;9,33038;0,988405;3,01414;0,000360432;1;119;119
-1,82231;8,28144;0,991422;3,01605;0,000554672;1;113;113
5,29778;0,667774;1,01604;2,9913;0,00054808;1;109;109
8,72347;2,6237;1,01816;2,99912;0,00152488;1;118;118
4,82916;2,282;1,01847;2,99654;0,00125332;1;104;104
9,36281;5,11154;1,01775;3,00448;0,00231201;1;120;120
-3,77727;0,411872;0,983912;2,99128;0,00279568;1;111;111
-7,03417;-7,59391;0,988687;2,98508;0,00310243;1;128;128
4,52681;-4,76761;1,00749;2,98351;0,000651883;1;120;120
-4,14749;-9,0838;0,992752;2,98299;0,00269675;1;128;128
4,54587;-6,74859;1,00645;2,98226;0,000865933;1;123;123
-4,6576;-3,65464;0,987992;2,98588;0,00307516;1;120;120
-3,80826;-8,09395;0,992498;2,98269;0,00281807;1;126;126
4,90582;-4,50192;1,00873;2,98324;0,000615244;1;119;119
7,60398;-9,43481;1,00883;2,98337;0,00059805;1;129;129
9,37939;5,96733;1,01778;3,0063;0,00267584;1;120;120
7,53304;-2,55876;1,01387;2,9882;0,000348561;1;120;120
9,25963;-0,361962;1,01753;2,99286;0,000790452;1;120;120
0,502525;-5,91809;0,998944;2,98107;0,0019568;1;120;120
5,08818;-9,07497;1,00606;2,9821;0,000917556;1;127;127
-6,62852;-3,16795;0,985388;2,98819;0,00314665;1;122;122
1,44089;-7,55773;1,00076;2,98175;0,0015572;1;124;124
5,59345;0,280097;1,01628;2,99036;0,000534533;1;110;110
-3,16711;-0,67143;0,985967;2,98764;0,00313701;1;111;111
7,09855;-7,21632;1,00951;2,98406;0,000509687;1;126;126
0,700821;5,75035;0,998037;3,01804;0,00136366;1;98;98
8,7539;-9,18882;1,00985;2,98451;0,000464056;1;130;130
-6,26817;7,98085;0,984574;3,01057;0,000443994;1;120;120
-2,9203;9,53593;0,990295;3,01618;0,000523664;1;117;117
