alpha;x*;y*;f_calls;min(local/global)
5;0;-7,15717e-18;6;lokalne
5;2,25411e-13;-7,15717e-18;8;lokalne
5;2,03875e-13;-7,15717e-18;27;lokalne
5;0;-7,15717e-18;8;lokalne
5;62,7482;-0,921148;11;globalne
5;-1,19298e-13;-7,15717e-18;8;lokalne
5;0;-7,15717e-18;6;lokalne
5;0;-7,15717e-18;8;lokalne
5;2,21579e-13;-7,15717e-18;7;lokalne
5;2,24823e-13;-7,15717e-18;7;lokalne
5;2,23136e-13;-7,15717e-18;7;lokalne
5;4,67808e-13;-7,15717e-18;6;lokalne
5;4,18061e-13;-7,15717e-18;24;lokalne
5;0;-7,15717e-18;8;lokalne
5;2,23213e-13;-7,15717e-18;7;lokalne
5;2,28759e-13;-7,15717e-18;7;lokalne
5;2,2429e-13;-7,15717e-18;8;lokalne
5;62,7482;-0,921148;10;globalne
5;2,25637e-13;-7,15717e-18;31;lokalne
5;2,24849e-13;-7,15717e-18;7;lokalne
5;2,32513e-13;-7,15717e-18;26;lokalne
5;2,14885e-13;-7,15717e-18;29;lokalne
5;0;-7,15717e-18;8;lokalne
5;41,929;0,0414459;4;lokalne
5;2,20503e-13;-7,15717e-18;11;lokalne
5;50,0596;-0,00650193;5;lokalne
5;0;-7,15717e-18;8;lokalne
5;59,4054;-0,76695;4;lokalne
5;0;-7,15717e-18;7;lokalne
5;2,2138e-13;-7,15717e-18;21;lokalne
5;2,29065e-13;-7,15717e-18;9;lokalne
5;2,17794e-13;-7,15717e-18;7;lokalne
5;0;-7,15717e-18;7;lokalne
5;2,18144e-13;-7,15717e-18;11;lokalne
5;62,7485;-0,921148;13;globalne
5;2,25705e-13;-7,15717e-18;9;lokalne
5;0;-7,15717e-18;8;lokalne
5;2,24855e-13;-7,15717e-18;7;lokalne
5;62,7482;-0,921148;11;globalne
5;0;-7,15717e-18;8;lokalne
5;2,51678e-13;-7,15717e-18;17;lokalne
5;2,65204e-13;-7,15717e-18;20;lokalne
5;2,2479e-13;-7,15717e-18;9;lokalne
5;2,2474e-13;-7,15717e-18;10;lokalne
5;2,21514e-13;-7,15717e-18;7;lokalne
5;2,50824e-13;-7,15717e-18;8;lokalne
5;62,7482;-0,921148;12;globalne
5;0;-7,15717e-18;10;lokalne
5;2,17301e-13;-7,15717e-18;7;lokalne
5;2,17396e-13;-7,15717e-18;7;lokalne
5;2,26521e-13;-7,15717e-18;7;lokalne
5;52,2208;-0,103713;4;lokalne
5;62,7482;-0,921148;11;globalne
5;62,7482;-0,921148;17;globalne
5;2,21062e-13;-7,15717e-18;7;lokalne
5;2,22767e-13;-7,15717e-18;7;lokalne
5;2,23689e-13;-7,15717e-18;16;lokalne
5;2,34955e-13;-7,15717e-18;19;lokalne
5;43,1972;0,0454205;5;lokalne
5;2,10041e-13;-7,15717e-18;10;lokalne
5;2,24849e-13;-7,15717e-18;7;lokalne
5;0;-7,15717e-18;8;lokalne
5;2,27034e-13;-7,15717e-18;7;lokalne
5;1,32792e-12;-7,15717e-18;13;lokalne
5;41,493;0,0400545;4;lokalne
5;2,23993e-13;-7,15717e-18;7;lokalne
5;2,20082e-13;-7,15717e-18;15;lokalne
5;0;-7,15717e-18;8;lokalne
5;2,26985e-13;-7,15717e-18;7;lokalne
5;59,6357;-0,786038;4;lokalne
5;2,25886e-13;-7,15717e-18;17;lokalne
5;2,19249e-13;-7,15717e-18;7;lokalne
5;2,24849e-13;-7,15717e-18;6;lokalne
5;2,24714e-13;-7,15717e-18;7;lokalne
5;2,04334e-13;-7,15717e-18;17;lokalne
5;2,38469e-13;-7,15717e-18;16;lokalne
5;58,1542;-0,64953;5;lokalne
5;3,04416e-05;1,85267e-14;5;lokalne
5;2,3486e-13;-7,15717e-18;8;lokalne
5;2,303e-13;-7,15717e-18;7;lokalne
5;2,05889e-13;-7,15717e-18;9;lokalne
5;2,29569e-13;-7,15717e-18;9;lokalne
5;2,24849e-13;-7,15717e-18;7;lokalne
5;2,22323e-13;-7,15717e-18;7;lokalne
5;2,22472e-13;-7,15717e-18;15;lokalne
5;2,21189e-13;-7,15717e-18;7;lokalne
5;2,23569e-13;-7,15717e-18;11;lokalne
5;2,29899e-13;-7,15717e-18;10;lokalne
5;2,329e-13;-7,15717e-18;7;lokalne
5;2,22095e-13;-7,15717e-18;13;lokalne
5;60,312;-0,836091;4;lokalne
5;0;-7,15717e-18;10;lokalne
5;40,9339;0,0383098;4;lokalne
5;0;-7,15717e-18;8;lokalne
5;2,22031e-13;-7,15717e-18;13;lokalne
5;62,7482;-0,921148;9;globalne
5;59,8264;-0,801096;4;lokalne
5;57,8984;-0,623434;5;lokalne
5;3,2126e-13;-7,15717e-18;6;lokalne
5;0;-7,15717e-18;6;lokalne
